,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Gata3-384,6.742165501179489,2.665314017760574,0.16203767306032235,0.18047816621287094,-0.6681176752087863,-0.0007688167191047576
Gata6-382,7.719385301559206,3.2705283825066376,0.13983015783445432,0.5492624393650349,-0.8580153800703543,0.001203964818129469
Gata5-385,8.037054666877259,3.4524567319757,0.15559137114524682,0.28957457993685426,-0.8009666655208384,-0.04660037816744709
Gata4-386,8.079858308909822,3.380283497355259,0.10604173674642432,0.3932698991973478,-0.4912536880382035,-0.06350172338283126
Gata2-383,8.937886241120799,3.6165361435403964,0.322323151051005,0.6969765703317621,-0.595868435542967,-0.056896359212132444
Gata1-387,8.476049804123498,3.520038493369279,0.1415557074127022,0.5861975385067794,-0.6818298992169366,-0.09458677823494097
Nfkb1-701,-2.3421291666725153,-1.846437394058078,-2.312634279718393,-1.4440069629882017,-0.7197740261125317,-1.5708825688995063
Rel-697,-1.7699126162306897,-0.9871653560130084,-1.6150424939146346,-0.9641608702656492,-0.2454088585716646,-1.1888017648240485
Nfkb2-699,-2.312648067254226,-1.3072904606199423,-1.725625947352159,-0.6549753147966384,-0.05309688945409345,-1.0162194163870104
Sfpi1-265,-5.946967968743966,-3.1902502731719298,-2.67744772625231,-1.1815963646002492,0.785695441784541,-0.6839061302530648
Bcl11a-795,-4.335751617902609,-2.2488031479527306,-2.6383427913611897,-1.228058686589387,0.22212514267802505,-0.7916259529371703
Bcl11b-814,-4.335751617902609,-2.2488031479527306,-2.6383427913611897,-1.228058686589387,0.22212514267802505,-0.7916259529371703
Spic-269,-4.069237175048222,-2.043537087321095,-1.7081733997613675,-0.5564586468512012,0.7693134937510787,-0.2158097345749267
Spib-271,-4.438775464899084,-1.8237762514269078,-1.7918618832181523,-0.6627661362092687,0.16943526284001992,-0.4466920085633633
Fosb-98,-0.13233411139201653,-0.893402225714051,-1.8809143505063268,-1.5693630260579063,-2.513129908709588,-1.4794738621727324
Fos-104,0.2544798907269885,-0.7249257697552985,-2.0700697453965495,-1.5800913737587632,-2.8509802789560026,-1.5565777725546108
