,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Gata3-384,1.0112654880879866,-0.016601631515175564,0.1695780392913136,0.15879783154188426,0.004278468591827979,0.1281997012427297
Gata6-382,1.0298744028217925,0.3394948886069432,-0.020460160315306963,0.2291695842310262,-0.10996349283301957,0.011955503026303216
Gata5-385,1.269294036597589,0.30466149647205465,-0.02868127472792853,0.17059693395246783,-0.22010297876749912,0.05724048555339972
Gata4-386,0.8605652916402995,0.10773108609667843,-0.07661827325880786,0.1551112225082992,0.09752147032138422,0.05320951866453286
Gata2-383,1.593150564611918,0.16026884148338896,0.22482775339438055,0.22951944540509228,-0.5315406762792478,0.11029299873095666
Gata1-387,1.2609433553209846,0.21347347851084367,0.09267127381500233,0.0994186505534424,0.025324188805013036,0.08229913791749985
Nfkb1-701,0.013837244930784219,-0.23347038084466185,-0.02115615304373169,-0.1721508605920738,-0.26694868323374676,-0.16053690711862478
Rel-697,-0.1771572963788004,-0.24148374698381478,-0.12170518024942241,-0.2864938569014394,-0.37532797319240696,-0.21257619001229638
Nfkb2-699,-0.6884647712034837,-0.45255642963123865,-0.20753247284017576,-0.19822669611522067,-0.0705784401937214,-0.19484004672579566
Sfpi1-265,-0.9729641282766597,-0.8063697602164357,-0.558357806312725,-0.3721889180093145,0.26045231056386275,-0.03238542150943732
Bcl11a-795,-1.0780412877388081,-0.2673738115964332,-0.3259008809837433,-0.2679015656941343,-0.04918292435810419,-0.10348146419177356
Bcl11b-814,-1.0780412877388081,-0.2673738115964332,-0.3259008809837433,-0.2679015656941343,-0.04918292435810419,-0.10348146419177356
Spic-269,-0.3761283000643929,-0.5596931770712739,-0.3515205929632787,-0.3050218339454272,0.39328331718566906,-0.0160293093617396
Spib-271,-0.7982935123645037,-0.709235322411039,-0.3868746955685988,-0.22094462307978702,0.17592203781601579,-0.05912447890744962
Fosb-98,0.01440525232696345,-0.003959780188888117,-0.1130841466341956,-0.16651596405741226,-0.25168640915020085,-0.1829879338445052
Fos-104,0.026238771355314994,-0.12410234396973413,-0.23461082122543542,-0.2038142117508351,-0.3131172738289513,-0.2537518931514583
Smarcc1-843,0.010802603649663567,-0.14711963204714976,-0.33318666532252217,-0.14836453619262216,-0.4589120542358729,-0.3220839863876571
Ctcf-146,0.15315430305285643,0.3064423403756289,0.4267353716286748,0.1538641117462888,-0.010309442114510771,0.13284578543150308
Ctcfl-820,0.1785730734890275,0.3109357470170011,0.16707888788398467,0.25631917047698843,0.18525625864476128,0.12729916537417563
Cebpd-97,0.3559798114847096,-0.1658258004677624,0.4437658793809956,-0.16311910408403157,0.14553954752925558,0.1854892735307106
Cebpb-130,0.3559798114847096,-0.1658258004677624,0.4437658793809956,-0.16311910408403157,0.14553954752925558,0.1854892735307106
Cebpg-129,0.43770224157375986,-0.09597357686093244,0.394385474033072,-0.2585067796371968,0.11775764463959208,0.1268651880004049
Atf5-791,-0.5732675224074066,-0.19167652904640897,0.45535335540935185,-0.2797952152444519,-0.23223753987154028,0.06328598363391
Mef2a-640,-0.05480400145854554,-0.25078367147285757,-0.11137001669055675,-0.29324784721307834,0.10481380764451032,0.0035129798973031023
Mef2c-638,0.15896947199409922,-0.24541923712167438,-0.26083677935115124,-0.25214329525907636,-0.011995923233995565,-0.044198958807960764
Mef2d-842,0.42659119099704856,-0.10151189737279047,-0.05893756429561921,-0.14528373805473394,0.3127541212900287,0.0008113440242013577
Mef2b-882,0.42659119099704856,-0.10151189737279047,-0.05893756429561921,-0.14528373805473394,0.3127541212900287,0.0008113440242013577
Irf2-636,-0.534737854814034,-0.0937849293929675,-0.285305561878366,-0.11911216159973638,0.028761461392648416,-0.05957623796185479
Prdm1-189,-0.8786798580943597,0.07863962778450845,-0.33541472035460634,-0.10317648712035192,0.06152723026767237,-0.06727112991840595
Irf4-632,-0.354690473424015,-0.18436045182649277,-0.20571828833691044,-0.21948064455884214,-0.14977281115761043,0.00473557120835823
Elf1-285,-0.25717389925491396,-0.31451880191973386,-0.19745279354732145,-0.023911348579930353,0.34928051508205754,0.03173424070930222
Ehf-275,-0.3053047824565134,-0.20488561794053545,-0.3953492684862911,-0.1503511970997674,0.35029417213872927,-0.05113142880950538
Elf5-281,-0.4478672155812296,-0.19617733154808722,-0.29114570434305453,-0.18162265946908002,0.32362718596836676,-0.01796684823857153
Irf1-631,-0.44931226308508826,-0.21043659452687535,-0.2657793247527093,-0.14853561177087238,0.2422833629501501,-0.025974654342694792
Stat2-758,-0.7954878202482369,-0.07329277949398448,-0.39746246570493177,-0.16472924510768266,0.16015258743741023,-0.10002739660285043
Nr1h4-850,-0.05648048227482987,-0.08908430656301558,-0.07878134820275416,-0.08517084964494495,0.010205826409187317,-0.07283565459296346
Nr1h5-851,-0.05648048227482987,-0.08908430656301558,-0.07878134820275416,-0.08517084964494495,0.010205826409187317,-0.07283565459296346
Zkscan5-217,-0.23740804791843695,-0.35555273483697913,-0.08139452414091009,-0.10864485291922359,-0.03019335108012559,-0.07247897648277919
Nr2f6-657,0.2166260678771299,-0.0021953597121532604,-0.21418419187258855,-0.12995311171654766,-0.1504446880722187,-0.04315222777010946
Nr5a2-675,-0.3347430578523543,-0.008896493881303789,0.18943017235444376,-0.11524734731026585,-0.0651383669752862,-0.06510471044830803
Esrrg-676,-0.3347430578523543,-0.008896493881303789,0.18943017235444376,-0.11524734731026585,-0.0651383669752862,-0.06510471044830803
Rxra-662,-0.12701422587436378,-0.24250561707705814,-0.3015927139259237,-0.1314263935717128,-0.007142744509632419,-0.13097126033606638
Nr2f2-680,-0.27586262340115403,-0.05398270886760154,-0.17846578827640963,-0.18834805601756585,-0.21104706059124198,-0.08491303435772082
Hdx-495,-0.040179407989468896,0.03220332534623594,0.06686288809261273,-0.003078738836520209,0.056881530023826087,-0.10226931869087112
Sp110-718,-0.314230434147221,0.032993746584669054,0.2064677235383128,0.10000261793442718,-0.2517710683183324,0.06828819922953726
