,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Gata3-384,0.20257221105354162,0.2043099768864733,-0.10127789095957083,-0.11858755356379991,-0.044536218561221134,-0.031454795063105945
Gata6-382,0.8638835346509035,0.18324213130205808,0.1750441329358451,-0.03916880324924863,0.0512557022702471,0.03248039688073141
Gata5-385,0.5545488299897743,0.34801196183869887,0.24479321517793715,-0.14571293750922062,0.02357544369746637,0.004109420665768406
Gata4-386,0.1426064478872713,0.3692881018828813,0.08058956698754968,-0.12682072074971665,-0.00933557692456977,-0.016021697686706086
Gata2-383,0.07152694249691924,-0.023801199041182036,0.33661597512214175,-0.14511302416609953,0.15815550584243868,-0.05489463183151356
Gata1-387,0.2865185763499623,0.17818878127051943,0.3161382899388207,-0.15264632276945547,0.14836050946686677,-0.01847401619294379
Nfkb1-701,-0.12791483221048564,-0.638954363329826,-0.5491919379026797,-0.2533134488098497,0.049410375803429746,-0.321670531271929
Rel-697,0.12570036770918627,-0.1879782052222167,-0.40302970680090094,-0.21130788842922435,0.32211696758390446,-0.18333512032853116
Nfkb2-699,0.07273019586629516,-0.26183289215273625,-0.3143285954831768,-0.04463830330108591,0.2926034255405409,-0.2058843582241588
Sfpi1-265,-1.276998726207946,-0.7392094746387801,-0.8034691585259169,-0.5377715468845511,0.07437887997845088,-0.2967952039042306
Bcl11a-795,-0.9541602274491179,-0.7959338440364013,-0.2645370652538753,-0.3810843737408334,-0.08731092740296867,-0.26691614872212355
Bcl11b-814,-0.9541602274491179,-0.7959338440364013,-0.2645370652538753,-0.3810843737408334,-0.08731092740296867,-0.26691614872212355
Spic-269,-1.1421526523442997,-0.5679664929973296,-0.5168470384014944,-0.2605020168509554,0.080718836120594,-0.11501494686205989
Spib-271,-0.9703002330299234,-0.7371334204072045,-0.5479032694617648,-0.30185890835337753,-0.20533030931557597,-0.23747875036812308
Fosb-98,-0.3285444791506726,-0.14337177474564114,-0.37185862432837236,-0.30243564667905426,-0.3091990313769485,-0.2571248274141671
Fos-104,-0.13273328368043227,-0.31230330861371336,-0.5782686909483644,-0.5155947335871229,-0.5396009237677497,-0.4471564913489306
Smarcc1-843,-0.03987940916062488,-0.08805465305946755,-0.5115896621713022,-0.4404324289411754,-0.47268028530986145,-0.4639193068848338
Ctcf-146,0.9425042773431502,-0.3452064386486012,0.339333294384186,-0.05566878581294685,-0.18399825739232506,-0.09364758492852295
Ctcfl-820,0.5524173764811597,-0.15432405816194944,0.26916682089417154,0.03363482555201863,-0.06835309194247396,0.00028919090605118215
Cebpd-97,-0.1810758471541522,-0.16661946891043433,0.01861002509047976,-0.1713603059560569,0.16271234138369148,0.0991569966640371
Cebpb-130,-0.1810758471541522,-0.16661946891043433,0.01861002509047976,-0.1713603059560569,0.16271234138369148,0.0991569966640371
Cebpg-129,-0.09594185169084057,-0.4429355615310833,0.26037105197953964,-0.38747833974618134,-0.010250980632449735,0.10132167989086367
Atf5-791,0.34175598854256906,-0.1364153650694539,0.4928800751547465,-0.1241958094941051,-0.027989377293554087,0.11058717717386542
Mef2a-640,-0.8832363201420343,-0.4902240503090704,-0.11158327082789281,-0.05674282633012281,0.020155743227160388,-0.11054415656514509
Mef2c-638,-0.18247225252426091,-0.38148261038551,-0.08934973905320005,-0.14321038395164407,-0.18381356081968234,-0.14214600980827344
Mef2d-842,-0.7589290600006036,-0.3569110497148894,-0.07342504677094897,-0.07415228216658065,0.16338660392843357,0.003339997780463995
Mef2b-882,-0.7589290600006036,-0.3569110497148894,-0.07342504677094897,-0.07415228216658065,0.16338660392843357,0.003339997780463995
Irf2-636,-0.5621840601503372,0.024708780552393814,-0.4654574553172933,-0.036182157114714085,-0.005954593146674547,-0.16598978179223928
Prdm1-189,-0.13886364293269227,-0.1401517893554865,-0.39087376769005744,-0.11545360808004058,-0.3099437250756754,-0.17096694155920864
Irf4-632,0.16828986567491167,0.17990104553908562,-0.16883661287393373,-0.14437987803194582,0.3427840886531743,-0.11828404953735994
Elf1-285,-0.2950961732636065,-0.28136305925018185,-0.46436424240460966,-0.1842318670608654,-0.14481320629092986,-0.19251329281994503
Ehf-275,-0.07987835665689205,-0.3117533188953777,-0.38691175967961255,-0.20995050974962035,0.10567078770064524,-0.07461237029895823
Elf5-281,-0.10152971486959633,-0.5004012117156995,-0.48690409184023076,-0.3238620817516106,0.12304707607102888,-0.08769816661486125
Irf1-631,-0.28899117740655295,-0.2536407101977147,-0.4633902304164663,-0.18456189389798916,-0.015260794317300564,-0.15029292340021358
Stat2-758,-0.467775318161529,-0.4361695036321331,-0.5269459889754687,-0.10147931738533131,0.14879935079315287,-0.19657317626843832
Nr1h4-850,0.08943275075286505,-0.5393768785055689,-0.0985057402180701,-0.05220140596305289,-0.29059171049001814,-0.035565365890276444
Nr1h5-851,0.08943275075286505,-0.5393768785055689,-0.0985057402180701,-0.05220140596305289,-0.29059171049001814,-0.035565365890276444
Zkscan5-217,-0.3511716136422963,-0.29895312641899063,-0.23551117099160335,-0.3746796706343112,-0.1992790609336132,-0.1589093422553811
Nr2f6-657,-0.1527879502529835,-0.10807911309434687,0.025585629446967184,-0.12919519987682682,-0.2608231189352108,-0.06501242882586047
Nr5a2-675,-0.15718958903387087,-0.2043694077110405,0.1097574950732775,-0.09096564418928402,-0.25859981412593636,-0.033637099893023936
Esrrg-676,-0.15718958903387087,-0.2043694077110405,0.1097574950732775,-0.09096564418928402,-0.25859981412593636,-0.033637099893023936
Rxra-662,-0.36840715810833324,-0.268546630553183,-0.07351934339697266,-0.07566236991214068,-0.12300622226874158,-0.048966696540068716
Nr2f2-680,-0.2864365058259827,-0.10595982255840478,0.07565802467285322,-0.09102050983852704,0.10886997274420367,-0.0494909840191615
Hdx-495,-0.36643304381734076,-0.30701618862604996,-0.27391969776497554,-0.08984808577169216,0.018222829848905414,-0.09693060846439279
Sp110-718,-0.03826355496498857,-0.36755169407588545,-0.2843016859447493,0.024663036398180297,0.0025089586361731744,-0.06824687772093427
Ikzf1-149,-0.39254910174169566,-0.059147439575804976,0.1895445006646221,-0.13290996556627938,0.009570146553242145,0.014579461170687334
Ikzf4-796,-0.39254910174169566,-0.059147439575804976,0.1895445006646221,-0.13290996556627938,0.009570146553242145,0.014579461170687334
Atf2-112,0.1939026499786826,-0.32855385303344387,-0.1603888468846221,-0.22551167009044346,-0.20473145521243608,-0.2784145075541355
Jun-126,-0.11021154553280271,-0.08624607706068367,0.0613666023168555,-0.10678867296909472,-0.054236520541990296,-0.04844633720046863
