,Baso/Eos/Mast,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Cpa3,24.29823516780692,0.5076501513557589,23.79058501645116,5.576848819657659,3.7444778787278414,6.955664474600574e-18,9.039400255831166e-16,15.04386038304494,True
Cyp11a1,19.239446257951286,0.567877767417606,18.67156849053368,5.079352407109951,3.4467408427574506,4.6635313699556164e-18,7.363470584140447e-16,15.132917443776343,True
Mcpt8,18.345097574130268,0.4954157539335958,17.849681820196672,5.20698141474192,3.3813189083354223,9.723818396833437e-17,7.676698734342188e-15,14.11482550258451,True
Gata2,16.550742789008584,0.7202048719703822,15.830537917038201,4.520763306509587,3.26835561370201,5.329161032069764e-20,2.664580516034882e-17,16.574371152082353,True
Il1rl1,15.234226126656422,0.15704973860597193,15.07717638805045,6.584322589708626,3.120291870945707,2.4883031563697005e-18,4.147171927282834e-16,15.382247959928366,True
Hdc,14.96061919149234,0.0329589497274574,14.927660241764881,8.743968535308863,3.086917751004928,1.9776011620344115e-08,2.308483846732776e-07,6.6366731600122835,True
Akr1c13,15.241374726584016,1.0113888757461924,14.229985850837824,3.9133601870281316,3.190043010032255,2.552934683833822e-20,2.4828444387640212e-17,16.60505049007201,True
Ms4a2,13.536189880942501,-0.0253676859194748,13.561557566861977,,2.9552032574214873,8.579734213470393e-13,2.523451239255998e-11,10.598005082737963,True
Cd200r3,12.268095679333857,0.030320411516664862,12.237775267817193,8.571512940206274,2.837783435986375,3.3490232052369804e-19,9.414662260478903e-17,16.026195255152494,True
Il6,11.824143434518785,0.049857139769852184,11.774286294748933,7.836362590379491,2.7943119442997038,1.974264348528407e-17,1.910578401801684e-15,14.718835136059209,True
Prss34,10.4279225824347,-0.049883459840677394,10.477806042275377,,2.629710881800392,1.4522237665088803e-07,1.405377838556981e-06,5.852206899146815,True
Akr1c12,10.696589016000027,0.5960124414631135,10.100576574536914,4.164573158413013,2.7325515729026493,1.1901849604923731e-20,2.4828444387640212e-17,16.60505049007201,True
F2r,10.356474475193751,0.4615553431065379,9.894919132087214,4.4855119343088505,2.6801026259705005,3.3104592516853616e-20,2.4828444387640212e-17,16.60505049007201,True
Igfbp7,10.13633218807768,0.482617567739335,9.653714620338345,4.390493374448508,2.6575199382406924,4.441603852370723e-19,1.110400963092681e-16,15.954520170209054,True
Lif,9.471749400530985,-0.0158738160409401,9.487623216571926,,2.518015824427073,4.542325159365859e-16,2.899356484701612e-14,13.537698383534051,True
Akr1c18,8.856757096833661,-0.037915997933918144,8.89467309476758,,2.4354740625904308,6.833839924808693e-11,1.2733863213929242e-09,8.895039819601342,True
Serpinb1a,9.308769183046344,0.6236367491498891,8.685132433896456,3.8994919181813614,2.576813057995356,8.351947073476172e-14,3.093313730917101e-12,11.509576030628443,True
Gzmb,8.657923960136808,0.3285627495785099,8.329361210558298,4.715646347680343,2.4576582057594645,2.1500760874364506e-16,1.500053084257989e-14,13.82389337174939,True
Ctla2a,10.410459441410154,2.1329993881958744,8.27746005321428,2.289570532564065,2.86229851702587,5.84761156930658e-14,2.339044627722632e-12,11.630961492004962,True
Perp,7.681355352096958,0.30703429517722347,7.374321056919734,4.640729786642226,2.320252101925459,2.2529628136192877e-20,2.4828444387640212e-17,16.60505049007201,True
Il4,7.075201795907751,0.009986855503129327,7.065214940404622,9.21082727829622,2.183516471930958,5.346895385870487e-18,8.020343078805731e-16,15.095807053904691,True
Cd55,7.167301407683327,0.12286243882849872,7.044438968854829,5.848599109444951,2.2157040410068083,2.8673909739451394e-17,2.6067190672228543e-15,14.583905771336157,True
Grm6,6.71061135039955,-0.04629525628244174,6.7569066066819925,,2.1150858767293244,5.250494770266668e-12,1.2806084805528458e-10,9.892583626480999,True
X4932438H23Rik,6.348471075896382,-0.027372211173725382,6.375843287070107,,2.0567740598572475,6.35021683354982e-20,2.72152150009278e-17,16.56518823039531,True
Rab27b,6.434190411823717,0.23866061413986345,6.195529797683854,4.746901689945474,2.116506328497328,4.517171702591456e-20,2.664580516034882e-17,16.574371152082353,True
Fcer1a,6.138905527648518,-0.0030727158764565256,6.141978243524974,,2.0242900326730893,1.3437757503328553e-17,1.493084167036506e-15,14.825915709857549,True
Nrip3,6.008635530590182,-0.00816892977918478,6.016804460369367,,2.0000841428807155,4.755703744713637e-16,2.972314840446023e-14,13.52690519012464,True
Inpp4b,5.994707078976436,0.17252675914455093,5.822180319831885,5.10883870256945,2.0298475344592015,1.4302225764433424e-18,2.523922193723545e-16,15.597924037445875,True
