,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Sfpi1_265,0.27799668442988834,-1.0477366098170346,1.3257332942469229,,-0.701036669238519,5.034817308979469e-07,5.550886083149864e-05,4.25563768529056,True,Sfpi1
Spic_269,0.39560517522321603,-0.5622649778387395,0.9578701530619556,,-0.12552548060349167,8.49280200614423e-07,8.265746365959095e-05,4.082717925155735,True,Spic
Bcl11a_795,-0.09271015322653858,-1.0046836528341119,0.9119734996075732,-3.557980575101359,-1.1478314161210055,2.7765750601618803e-05,0.001224469601531389,2.9120519921244434,True,Bcl11a
Bcl11b_814,-0.09271015322653858,-1.0046836528341119,0.9119734996075732,-3.557980575101359,-1.1478314161210055,2.7765750601618803e-05,0.001224469601531389,2.9120519921244434,True,Bcl11b
Spib_271,0.1486080940630646,-0.7529199544256203,0.901528048488685,,-0.5190233862898407,1.139908190980157e-06,9.139991131313622e-05,4.039054225669169,True,Spib
Mef2a_640,0.9201425394027315,0.14580649906237364,0.7743360403403579,2.6499770891023373,0.616333717034297,4.585050125519397e-05,0.0018381882775945946,2.735610007785223,True,Mef2a
Irf1_631,0.7719746943064222,0.005284325122508228,0.766690369183914,6.741703269987102,0.47366173553604063,6.087115803731833e-06,0.00035792240925943173,3.4462111098998953,True,Irf1
Myod1_24,1.0186461077098778,0.3164527555616441,0.7021933521482338,1.6881914091513452,0.7377295282576942,4.358198829387857e-05,0.0018304435083429003,2.737443669892822,True,Myod1
Mef2c_638,0.9706261661618372,0.275485149115553,0.6951410170462842,1.8177217407729678,0.6987124734672456,0.00013451476067855237,0.004745680756739327,2.3237014802463145,True,Mef2c
Id3_22,1.2938476444740477,0.6172520474372362,0.6765955970368115,1.0714917628732756,0.9675743100910571,0.002345936710358508,0.045708991464819916,1.3399983609923487,True,Id3
Id4_35,1.2938476444740477,0.6172520474372362,0.6765955970368115,1.0714917628732756,0.9675743100910571,0.002345936710358508,0.045708991464819916,1.3399983609923487,True,Id4
Ferd3l_82,0.7877104082519626,0.12438569497047872,0.6633247132814839,2.6536408945775682,0.5420579672655316,2.970224983765283e-06,0.0002183115363067483,3.6609233141214452,True,Ferd3l
Nfkb2_699,-0.34738191341626284,-0.9977105297722411,0.6503286163559783,-1.5510143986619633,-1.6106368168508303,0.00018654049986767488,0.005876025745831759,2.2309163100144955,True,Nfkb2
Mesp1_58,1.280110325379563,0.6779605889857091,0.6021497363938538,0.921257896357093,0.9847974605124101,0.013915687017419628,0.13340908640613164,0.8748145898973221,False,Mesp1
Mesp2_57,1.280110325379563,0.6779605889857091,0.6021497363938538,0.921257896357093,0.9847974605124101,0.013915687017419628,0.13340908640613164,0.8748145898973221,False,Mesp2
Mef2d_842,0.8802337000358575,0.2827912136646613,0.5974424863711962,1.6403454402312452,0.6613049193490264,0.0001482843882583939,0.004843956683107534,2.314799749172975,True,Mef2d
Mef2b_882,0.8802337000358575,0.2827912136646613,0.5974424863711962,1.6403454402312452,0.6613049193490264,0.0001482843882583939,0.004843956683107534,2.314799749172975,True,Mef2b
Stat2_758,0.4606978650769622,-0.07771834416639686,0.5384162092433591,,0.25276655320349944,0.003700133564594117,0.06210468483887372,1.2068756377794587,False,Stat2
Elf5_281,0.28775571065258376,-0.22772924705481967,0.5154849577074034,,0.04266287073666354,0.0002266702046495549,0.0066641040166969135,2.176258232861031,True,Elf5
Myf5_778,0.7428769207965914,0.24771874618946935,0.4951581746071221,1.5874569747414078,0.5804328691112959,0.0006095217313209762,0.01414732018487108,1.849325817322978,True,Myf5
Tcf4_88,1.1258583204993842,0.6308682160887769,0.4949901044106073,0.8407234649607807,0.9094761016951268,0.012949407692118834,0.12833008521852599,0.8916715173373124,False,Tcf4
Nhlh2_84,0.5454048149680204,0.08005239918723882,0.46535241578078157,2.7526113727823915,0.39256868493334207,0.000821809663004955,0.01812090306925926,1.74182016271753,True,Nhlh2
Ehf_275,0.2937786869029137,-0.16735793023866558,0.4611366171415793,,0.08842709239716423,0.0005520534419749908,0.01414732018487108,1.849325817322978,True,Ehf
Lyl1_783,0.621471697398443,0.16212319608803966,0.45934850131040333,1.938389703038956,0.4769492658977705,0.004015641679589192,0.0627728967524161,1.2022278296962365,False,Lyl1
Tal1_782,0.621471697398443,0.16212319608803966,0.45934850131040333,1.938389703038956,0.4769492658977705,0.004015641679589192,0.0627728967524161,1.2022278296962365,False,Tal1
Ascl2_23,0.7973308333125674,0.34034079926395955,0.45699003404860783,1.2333881295726925,0.6496943775318023,0.0035693244108634054,0.06210468483887372,1.2068756377794587,False,Ascl2
