,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Ctsg,14.276638975612338,3.7633344441544825,10.513304531457855,1.9234078393311935,3.324808689887748,7.172222978571409e-30,2.1516668935714225e-26,25.66722496231855,True
Elane,9.581236591390084,1.5924428441941783,7.988793747195906,2.5880554870542896,2.7195864444371165,1.927434816513497e-18,3.40135555855323e-16,15.468347966995113,True
Prtn3,8.560048779061235,2.442125087802059,6.117923691259176,1.8093037499088238,2.700680946198915,1.1791623643131563e-24,1.1791623643131563e-21,20.928426390774,True
Mpo,7.0454231009711865,1.6529754996039048,5.392447601367282,2.091094845956398,2.419322956568723,6.17915366933689e-22,2.3171826260013337e-19,18.63503973645644,True
S100a8,3.1855853779103986,-2.185315133412722,5.3709005113231205,,0.5850924550002146,9.4111351048223e-08,1.115944874089601e-06,5.952357258328554,True
Ms4a3,7.847187341830712,2.4798561044070797,5.367331237423633,1.6618500938648189,2.623754915964403,4.3355442878777694e-24,2.9549013425391767e-21,20.529457014649427,True
S100a9,2.9226611848237773,-2.0189313132616555,4.941592498085432,,0.5379072484148298,2.018697270333381e-10,5.3123612377194235e-09,8.274712400843713,True
Stfa1,2.669274504968751,-1.1000943481377805,3.7693688531065312,,0.8355927242524192,2.6318568341321135e-11,8.871427530782405e-10,9.052006490781773,True
Slpi,4.517714185680049,0.8227071682231403,3.6950070174569087,2.45553874172468,1.8758628788367966,1.1573595982063422e-12,5.6919324501951264e-11,10.244740262607708,True
Plac8,4.453656021145858,1.2617581029143388,3.1918979182315192,1.819196690383585,1.947743595382337,1.7258063511094283e-16,1.9913150205108788e-14,13.700860030355626,True
BC100530,1.0275197811636225,-2.001704785114029,3.0292245662776516,,-0.9632294331371102,3.774024802776277e-12,1.6650109424012985e-10,9.77858290797815,True
F630028O10Rik,2.9640727106596714,0.6383818585009604,2.325690852158711,2.213470776208834,1.4860590448311783,2.914934736703235e-14,2.3634605973269473e-12,11.626451633685216,True
Cebpe,2.3584621357001248,0.09327154664945615,2.2651905890506687,4.633293763160629,1.1543672884018283,1.4141270684766327e-19,2.828254136953265e-17,16.54848156894955,True
Ly6c2,1.6683269154603841,-0.5142294780818761,2.18255639354226,,0.6572272290096673,2.7890151572010403e-09,5.3980938526471746e-08,7.2677595689583745,True
CellTag.UTR,3.3863070862970894,1.4942914506613043,1.8920156356357851,1.1808553093836973,1.7825340691051004,2.2901556476052803e-10,5.872193968218667e-09,8.231199607394483,True
Lcn2,0.6765880625711388,-1.2146429767010098,1.8912310392721485,,-0.4521108787443614,5.656763970737472e-15,5.474287713616908e-13,12.261672380993751,True
