,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Ctla2a,14.425357511149015,2.1329993881958744,12.29235812295314,2.757363067971931,3.213997079162015,9.181100819610545e-36,1.3771651229415818e-32,31.861013984446753,True
Pf4,8.48230729186818,0.9242258471631832,7.558081444704997,3.196829084918709,2.511788465555355,1.0721736548556701e-34,6.433041929134021e-32,31.191583617955736,True
Akr1c13,8.497169056256627,1.0113888757461924,7.485780180510435,3.069599468923935,2.5246351642664604,1.6345472040987528e-32,4.086368010246882e-30,29.38866252423746,True
Hbb.bt,8.170792056567356,0.934023302327362,7.236768754239994,3.1277367394015405,2.4731135001071056,2.4450420700966758e-33,9.168907762862535e-31,30.03768239615266,True
CellTag.UTR,8.585255416283816,1.4942914506613043,7.090963965622512,2.5222564307098185,2.5944944315807734,4.636955258521575e-25,2.6246916557669292e-23,22.580921709425464,True
Gata2,6.301144418535632,0.7202048719703822,5.58093954656525,3.1275674835160867,2.173343228285582,8.072616701298602e-35,6.054462525973952e-32,31.217924404521618,True
Itga2b,5.8705141129069975,0.40981194156863376,5.460702171338363,3.8360413081810982,2.049687577859083,4.021512835504258e-38,1.2064538506512775e-34,33.91848928609736,True
Akr1c12,5.902885659278422,0.5960124414631135,5.306873217815308,3.3057707054937864,2.087275805056752,1.4192344284868652e-35,1.419234428486865e-32,31.847945862055397,True
Gzmb,5.580343492530289,0.3285627495785099,5.251780742951778,4.080105581546233,1.9834781917660775,9.676303298097183e-22,3.1213881606765106e-20,19.505652221223222,True
Scin,6.23698903245782,1.0615550159838985,5.175434016473922,2.554413736073388,2.2170048389593386,3.692253322469413e-28,3.9559857026457995e-26,25.402745286658593,True
Fgf3,5.197750676406966,0.33505920193538025,4.8626914744715855,3.9497632788566683,1.9131881174051708,7.10817575406573e-27,6.092722074913483e-25,24.21518863216346,True
Cpa3,5.3270137587362685,0.5076501513557589,4.8193636073805095,3.3886261082343996,1.969871387570425,2.2014456624851148e-23,9.172690260354645e-22,21.03750327132288,True
F2r,5.145751845086354,0.4615553431065379,4.684196501979817,3.475547929845016,1.9273858632238559,6.010663488191308e-34,3.0053317440956537e-31,30.52210758133911,True
Car2,5.135806776349165,0.5723050538819968,4.563501722467168,3.1636870668372095,1.946377502581943,1.4294954762079277e-31,2.3824924603465461e-29,28.622968465059024,True
Vamp5,5.204688961184541,1.0102505008296203,4.19443846035492,2.3651914271299224,2.038249943626505,1.6217950912381674e-32,4.086368010246882e-30,29.38866252423746,True
Podxl,3.9982265230790373,0.30043670990215465,3.6977898131768825,3.7284886003214455,1.6550456775359785,6.247400014926901e-32,1.171387502798794e-29,28.93129941364806,True
Adgrg1,4.400661480450243,0.8587128727700365,3.5419486076802063,2.357599853903227,1.859845215383391,4.987745320030837e-32,9.975490640061673e-30,29.001065734535338,True
Nrgn,3.811990964388736,0.34027925783917723,3.471711706549559,3.481319514533031,1.6211188712624336,1.654987762053723e-31,2.613138571663773e-29,28.58283755953665,True
Angpt1,3.950019122999302,0.5069737565505971,3.443045366448705,2.9600767441656735,1.6908624361539144,7.394566206446042e-33,2.4648554021486808e-30,29.60820855301591,True
Slc18a2,3.652735502528648,0.2445387937358044,3.4081967087928433,3.8932863344624082,1.5600482989007547,1.9219874157138426e-29,2.2176777873621262e-27,26.65410155346906,True
Gp5,3.692866213054502,0.31427010551501583,3.378596107539486,3.5496619934459592,1.5866774029842026,5.830891531442313e-28,6.031956756664462e-26,25.219541780601364,True
Spns2,3.852911050003246,0.547679287640652,3.3052317623625944,2.8132648015530686,1.6782049735367401,1.3904439050665244e-33,5.959045307427961e-31,30.224823312562936,True
Myct1,3.8007070984872944,0.5620285552211539,3.2386785432661407,2.7564602464474977,1.6696471846092669,7.154047168363568e-31,9.905395112367674e-29,28.00412819637999,True
Homer2,3.5244870293998627,0.3566874474874642,3.1677995819123983,3.3009621991777673,1.556104291589152,3.331815539358458e-23,1.3692392627500513e-21,20.863520656020274,True
Rab38,3.8224407874613022,0.74906006931148,3.0733807181498225,2.3515035612908104,1.7162229034763306,4.269418493791128e-32,9.148753915266703e-30,29.03863805397467,True
Gp9,2.9523862224178603,0.19443273281491258,2.7579534896029476,3.914963305168677,1.3636810351223254,2.5985519076812184e-30,3.118262289217462e-28,27.506087357406017,True
Alox5,2.83446594665129,0.10135565577343017,2.73311029087786,4.782792271368261,1.303290251467014,5.662371493594929e-23,2.1778351898442036e-21,20.66197498906576,True
Rab27b,2.9595892137547435,0.23866061413986345,2.72092859961488,3.6255014832046024,1.3780259714021608,2.2139714634218116e-26,1.7478722079645882e-24,23.757490323077256,True
Hmga2,3.112872970456664,0.41755778075922234,2.6953151896974417,2.896227319673785,1.4673918526916445,5.0340944438655414e-23,1.961335497609951e-21,20.70744811143259,True
Tespa1,3.3017171698375254,0.6281091106303183,2.673608059207207,2.394183930382735,1.567989840356668,5.355522340867784e-24,2.3979950780005004e-22,21.620151712646436,True
Sdsl,2.9326061213019505,0.2976032139337789,2.6350029073681718,3.2962823493929063,1.3868686904229983,1.2062666619126985e-31,2.1287058739635855e-29,28.671884341445192,True
Tuba8,3.082062762217858,0.4936314216496723,2.5884313405681856,2.641527831199785,1.479151434320219,1.3271632175013506e-22,4.855475185980551e-21,20.31376826100818,True
H2.Q7,3.1404493753400264,0.5561503320483184,2.584299043291708,2.4971242406778114,1.5101010334763645,1.773391270748706e-25,1.0788090246746035e-23,22.96705542915464,True
Samd14,2.8122972803422446,0.24142435340155508,2.5708729269406896,3.5356507907562515,1.3373462007533143,2.0832995190575974e-32,4.807614274748302e-30,29.318070383989582,True
Slc22a3,2.9317045890633264,0.4197903495401139,2.5119142395232124,2.8023673892375816,1.4199419642687634,1.4786065387699236e-21,4.5730099137214136e-20,19.339797857121432,True
H1fx,2.8185180000128263,0.3536603181224082,2.464857681890418,2.9917999576737118,1.3707720149499218,8.92257291803867e-31,1.163813858874609e-28,27.93411647546626,True
Serpina3g,3.6161050167019773,1.1603865897617902,2.4557184269401873,1.6415846770440807,1.7605385400302906,6.083217525209966e-22,1.9836578886554238e-20,19.70253322627487,True
Tcrg.C1,2.768155200515565,0.3715046653600556,2.3966505351555094,2.8952604583297283,1.3616728874247372,1.9695931416034983e-24,9.530289394855637e-23,22.02089391146234,True
Muc13,3.3434431188342204,0.9576041132596621,2.3858390055745584,1.8054064624482247,1.655591624007993,1.4617880933048932e-25,9.136175583155581e-24,23.039235562550193,True
Hmgb3,3.2084927850212908,0.8631326330398003,2.3453601519814904,1.8956780908440072,1.6020827880894732,3.1879543428095237e-26,2.3326495191289198e-24,23.63215050910281,True
Hemgn,2.6645523619370786,0.36112123813595104,2.3034311238011274,2.881118497826058,1.329316976262905,5.704308466957391e-27,5.0332133531976975e-25,24.298154659876538,True
Tjp1,2.6544347691893946,0.39748479515597096,2.256949974033424,2.737962588519192,1.3368316690059356,1.7945714575217132e-27,1.631428597747012e-25,24.787431929098325,True
Fut8,3.175392406604588,1.0056829760219768,2.1697094305826115,1.6607183420371165,1.6278578598471451,7.207791029145788e-23,2.70292163592967e-21,20.56816654533963,True
Meis1,2.578658607982101,0.4108276530232847,2.1678309549588164,2.648948886438936,1.3188912771145413,6.176684694770122e-25,3.369100742601885e-23,22.472486002583157,True
Gmpr,2.453191643115471,0.28942736363592675,2.1637642794795444,3.079694430413834,1.2456839757023148,1.1194794376710702e-21,3.5728067159715005e-20,19.446990477908265,True
Gata1,2.174307129235112,0.0817514590007029,2.0925556702344092,4.705339112789155,1.089518010889733,1.3309534569488864e-24,6.545672739092884e-23,22.18404571170125,True
Zfpm1,2.354304340016852,0.26625944336219587,2.0880448966546563,3.140104327919473,1.208068894468408,3.2784714251672896e-26,2.341765303690921e-24,23.63045663292696,True
