,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Spp1,-1.3608495121596966,-2.641841366894266,1.2809918547345693,-0.9570816419719727,,8.445731618333351e-08,1.8450273446377477e-05,4.7339971928993485,True
Prtn3,3.6365422263261005,2.442125087802059,1.1944171385240416,0.5736748100287924,2.0141173204679084,6.137688163579519e-10,1.8413064490738558e-06,5.734873925745786,True
Ms4a3,3.459762239489806,2.4798561044070797,0.9799061350827265,0.47970077259007315,1.9890696589298174,8.107925323305533e-08,1.8450273446377477e-05,4.7339971928993485,True
Ctsg,4.558106023130362,3.7633344441544825,0.7947715789758796,0.2759960342158779,2.367572423205438,0.00012136642781579111,0.0027869877948815455,2.5548649331981426,True
Ifitm1,0.30423511710047585,-0.4332970890168047,0.7375322061172805,,-0.09623822766238939,4.176204583981029e-09,4.176204583981029e-06,5.379218234259213,True
CellTag.UTR,2.2151124086073506,1.4942914506613043,0.7208209579460463,0.566687345167332,1.5133401161352737,1.9060827637384692e-07,3.013955076304049e-05,4.52086322523262,True
Slpi,1.4293185059110014,0.8227071682231403,0.6066113376878611,0.7944561831351118,1.0881503080247514,1.8225614887074735e-05,0.0007820403929080699,3.1067708147610777,True
Fth1,-3.296885118053825,-3.8843396707792217,0.5874545527253967,-0.23629232766219074,,2.673272740687313e-06,0.0002050740932139293,3.6880892001137338,True
Hp,-0.2952097283127317,-0.878089533553978,0.5828798052412463,-1.5745911845799052,-1.2745629199602233,1.619808157755667e-08,5.505597983498499e-06,5.259195503789484,True
Dmkn,0.1788772888106373,-0.3923239304457363,0.5712012192563736,,-0.16282099696466693,1.6020118867768444e-06,0.00015018861438532917,3.8233629894160455,True
F13a1,-1.6267812828224786,-2.0976885658202704,0.47090728299779183,-0.36635590044914074,,0.00010563737565054323,0.002597640384849424,2.5854209724645463,True
Ifitm3,0.43106864752109386,-0.03634500230357761,0.4674136498246715,,0.259859176346267,1.017868706736877e-08,5.505597983498499e-06,5.259195503789484,True
Hspd1,2.394150858110185,1.928099147284732,0.46605171082545294,0.3114855143551169,1.660438085924474,0.00029442970299796634,0.005135401796476157,2.289425571313858,True
Clec5a,0.06379715160683402,-0.34161513039454483,0.40541228200137885,,-0.21576236758906842,1.179546004386144e-08,5.505597983498499e-06,5.259195503789484,True
Emb,0.1178375445504233,-0.28658866061249977,0.40442620516292305,,-0.12717211972120387,1.9539065731582423e-09,2.9308598597373637e-06,5.533004947033351,True
Cebpb,-0.48244181797255875,-0.8262515874633263,0.3438097694907675,-0.7759419544981259,-1.5326024069110566,3.0014441247461985e-06,0.000209403078470665,3.6790169379723867,True
Ftl1,-1.9701590761070684,-2.3136843350077667,0.3435252589006983,-0.2314182019666302,,0.000452256345291933,0.006618385540857557,2.179247937479883,True
Ptma,2.301260051849052,1.9632022211285944,0.33805783072045736,0.22841874756122899,1.6471906772401976,0.000581744646196081,0.00796910474241207,2.0985904649613416,True
Npm1,1.9558994677308075,1.6248029926330565,0.331096475097751,0.26658388076564654,1.480446729993265,0.0028183231196965814,0.025238714504745505,1.5979327689886385,True
Gapdh,-0.05769121622754752,-0.3874168940487981,0.32972567782125056,-2.767080624116332,-0.3631857254844192,1.3458800374882941e-08,5.505597983498499e-06,5.259195503789484,True
Mgst1,-0.29325520730623633,-0.5976373766626198,0.3043821693563835,-1.0275657695334535,-0.8506009040486918,5.782743904359689e-05,0.001700807030694026,2.7693449575566036,True
Mmp8,-2.193479405302069,-2.488404581205027,0.29492517590295764,-0.18154578684925135,,0.0015159492373927799,0.015468869769314079,1.8105414168036567,True
Tpd52,-0.4730889707490414,-0.7627448981524959,0.2896559274034545,-0.6885769611740821,-1.3880417780177678,1.9088382149925643e-07,3.013955076304049e-05,4.52086322523262,True
H2afy,1.3214035621758993,1.035424375958946,0.2859791862169532,0.35023593835154027,1.1232781387979092,0.0019846352838495695,0.01945720866519186,1.710919463566936,True
Mt1,-0.0872965437184576,-0.3638952104873504,0.2765986667688928,-2.0694176056899383,-0.36884146140274654,0.0001398146675072631,0.0030841470773660977,2.510864919413089,True
Ran,1.5921324063734776,1.3196319276258033,0.27250047874767436,0.269611800951368,1.2962413419933414,0.0006209583654659424,0.008279444872879231,2.081998781177376,True
Eif5a,1.1065712894912816,0.8362192966025972,0.2703519928886844,0.40209495708622023,0.9792170864469999,4.0031338322617057e-05,0.0013053697279114258,2.8842664630001345,True
Bnip3,-0.01774349137335761,-0.2852962183139091,0.2675527269405515,-4.086939466253771,-0.23704719448252595,5.141704168073672e-06,0.00030245318635727477,3.5193418358215585,True
