,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Cox6a2,5.884926691233753,0.09657229584910826,5.788354395384645,5.909096607704762,1.9966597211523036,9.318554931694462e-08,9.735458588778072e-06,5.011643586220485,True
Ighm,5.620327990714046,-0.02751943512699503,5.647847425841041,,1.9246336326413551,2.090941751741876e-12,6.272825255225629e-09,8.20253681062117,True
Ly6d,5.171078041902347,-0.2533213798042393,5.424399421706586,,1.7903042665933642,7.703250841271882e-08,8.88836635531371e-06,5.051178053210736,True
Ctr9,4.922173107055027,0.470318240352351,4.451854866702676,3.39269354877165,1.8860606497341998,0.000586655729731455,0.0057141791856959905,2.243046145098033,True
Cd74,1.0439235131873292,-3.33147053415416,4.375394047341489,,,7.003639540669086e-09,1.7509098851672714e-06,5.7567362053624125,True
H2.Aa,0.7584875619331746,-2.8351874235741312,3.593674985507306,,,7.003639540669086e-09,1.7509098851672714e-06,5.7567362053624125,True
Ccnd1,3.205236055048019,0.05802676327842995,3.1472092917695886,5.755889636609953,1.3959574368655183,1.723736785883236e-05,0.00038305261908516355,3.416741563867719,True
Bcl11a,3.2805709255429227,0.1898511357155622,3.0907197898273604,4.112703530214895,1.451652146033264,1.9309589158622134e-07,1.5881166742148083e-05,4.799117594411251,True
H2.Eb1,0.877197374388194,-2.1850409713484837,3.0622383457366777,,-1.5308300217735156,4.082064382317407e-09,1.3914669242817535e-06,5.856527112558572,True
Pcp4,3.193141292773449,0.15633983130331,3.0368014614701386,4.351153775080376,1.4193989632848913,2.49864925765451e-06,0.00010411038573560458,3.9825059444310504,True
Mef2c,3.141902928932912,0.23467990888879084,2.907223020044121,3.7481829568187415,1.4266895390946557,1.4815926737934298e-07,1.3072876533471437e-05,4.883628840486727,True
Sub1,2.855426059256343,0.07715996327807459,2.7782660959782683,5.1920941334924,1.302344211253271,1.3792992264471514e-10,1.0344744198353637e-07,6.985280243965574,True
Bcl2,3.039696262790945,0.2751031697433872,2.7645930930475577,3.4735720742776413,1.4100152490192517,1.1634529686152217e-06,6.463627603417899e-05,4.18952367303167,True
Klrd1,2.299392771451834,-0.4039404783418234,2.7033332497936575,,0.9617908464240239,3.5814619177285163e-10,2.1488771506371097e-07,6.667788412021561,True
H2.Ab1,0.7939116133089245,-1.897701872088624,2.6916134853975486,,-1.1580916871496303,7.443234833309088e-06,0.00022329704499927263,3.6511170241251647,True
Hmgn3,2.560599801716059,0.03295224485001393,2.5276475568660453,6.216461755480276,1.1996101750206665,4.194302906017928e-08,6.823724647354678e-06,5.165978506246622,True
Irf8,2.0014651029516717,-0.4359696046164303,2.437434707568102,,0.8341025825084389,1.4114450790041247e-06,7.034283841579196e-05,4.152780111375277,True
Ctnnd2,2.273542318933579,-0.05391168059711581,2.327453999530695,,1.0771167194153928,3.0330108547782067e-09,1.2998617949049456e-06,5.886102820693841,True
Atp1b1,2.139508820866935,-0.1877679148712645,2.3272767357381996,,0.9824883604122913,0.00036787774989404027,0.003933373712358911,2.4052347890326944,True
Pclaf,3.196509667700151,0.9785006443052184,2.2180090233949326,1.7221623875798382,1.6264415459388677,5.721631595579864e-05,0.0008986855909287745,3.046392221512085,True
Siglech,1.9887396354474647,-0.19684155832516181,2.1855811937726264,,0.9229201863863855,3.2488725702697225e-08,6.09163606925573e-06,5.215266050482941,True
Cd7,1.8103856692354965,-0.37071098123948665,2.1810966504749834,,0.7822721264948795,4.3216922766579625e-08,6.823724647354678e-06,5.165978506246622,True
Olfm1,1.3637177032666148,-0.8010666893478833,2.1647843926144983,,0.35763702339358155,1.211047755068917e-06,6.605715027648639e-05,4.180080165823111,True
Crip1,2.021217325651008,-0.10451420678287894,2.125731532433887,,0.9696397779774745,1.0315152345539116e-05,0.0002762987235412263,3.558621121454398,True
Aff3,2.2188963836112086,0.1864727952411688,2.03242358837004,3.5822069869796693,1.139262924975859,1.7548705981907234e-05,0.00038710380842442427,3.412172555961913,True
Ppp1r16b,2.063619057543381,0.03448942263212713,2.0291296349112535,5.848195851089101,1.0349581741343798,1.299628424748039e-05,0.00032490710618700974,3.4882407899044603,True
Satb1,1.842509392889169,-0.05896104352205722,1.901470436411226,,0.9197398812201572,0.0068678546467646475,0.03746102534598899,1.4264203397207702,True
Hs3st1,1.8554407579064593,-0.030555047381926735,1.885995805288386,,0.9354166400084584,1.125170313666581e-06,6.368888567924044e-05,4.195936349600609,True
Rnase6,1.4633871548244408,-0.3388303477178717,1.8022175025423124,,0.643651569763957,6.84777101749893e-08,8.751037602424937e-06,5.057940450030097,True
Plac8,3.0630078308862445,1.2617581029143388,1.8012497279719057,1.2952315342991938,1.661012089705195,0.003711377067449914,0.02329316151119193,1.632771561972726,True
Stmn1,3.1255946548357825,1.4171347443107012,1.7084599105250813,1.1567636449260748,1.7098926034856237,0.00042763907238805313,0.004378557055167779,2.358668986807489,True
Runx3,1.7128492333591236,0.005033461604895247,1.7078157717542284,7.959984494561558,0.8944812516819577,1.4057410901493164e-05,0.00033737786163583596,3.4718834187381105,True
H2afy,2.7246555831347643,1.035424375958946,1.6892312071758182,1.4132905420073958,1.526088838713994,4.7419280002850946e-06,0.00016541609303320098,3.7814222410015734,True
Flt3,1.8050388912079294,0.12380072263054356,1.6812381685773858,3.8732356381327993,0.9741032741741116,1.1866859850402452e-05,0.00030957025696702053,3.509240772328978,True
Tmed3,1.844756477942668,0.1941587688566349,1.650597709086033,3.2631062930023282,1.013967872630444,4.274414446526981e-07,2.982149613856033e-05,4.525470571868223,True
Ramp1,1.9012727087979684,0.26072256840758384,1.6405501403903846,2.8842469685550687,1.0572753279862714,2.591895006931109e-05,0.0005016570981156985,3.2995930383948164,True
Acadm,1.4523341132806704,-0.17405396392180908,1.6263880772024795,,0.7129391469391491,4.71203722301544e-06,0.00016541609303320098,3.7814222410015734,True
Tcf4,1.5999489997647118,0.014732931248949248,1.5852160685157626,6.613462893047575,0.8538687047869694,3.34059843723353e-06,0.0001268581685025391,3.89668156296049,True
Hmgn1,2.358568569184185,0.781039904073618,1.577528665110567,1.6140902950157867,1.3616584615196206,2.02396106502057e-05,0.0004179749141015913,3.3788497828043487,True
Sapcd1,1.657318699636791,0.10577990954001051,1.5515387900967805,3.975789032185159,0.9119210946426782,0.0032952574397118422,0.021213814238252186,1.673381238428403,True
Gfra1,1.5117055280478122,-0.011240885231986806,1.522946413279799,,0.8075464344560985,0.0015645917285394488,0.012319619909759438,1.9094026910060493,True
Sema6d,1.3664283615905228,-0.13353244841189055,1.4999608100024133,,0.6928270589770329,1.231757026810543e-10,1.0344744198353637e-07,6.985280243965574,True
Lmo4,1.6168920856435436,0.14100153849921454,1.475890547144329,3.5330368713683136,0.909924228521187,0.0001092106246813967,0.001489235791109955,2.8270365348396456,True
Ciita,0.9718595896479489,-0.49893005258181483,1.4707896422297637,,0.30622113258125677,9.150129899650638e-11,1.0344744198353637e-07,6.985280243965574,True
Rtn4rl1,1.5079878857541342,0.041800284444545054,1.4661876013095891,5.141875602520017,0.8277329359068843,3.468753955706033e-07,2.5381126505166094e-05,4.595489106271247,True
Ckb,0.9015868711428208,-0.5486606890683399,1.4502475602111606,,0.234456059862844,6.22115553410863e-08,8.483393910148132e-06,5.071430366897674,True
H2.DMb2,1.0590688743781225,-0.34384541757422005,1.4029142919523425,,0.4410709334833761,3.845407650979821e-06,0.0001406856457675544,3.851750211605479,True
Mycl,1.3142114443014157,-0.08505955399983682,1.3992709983012526,,0.6911553029002064,3.1230097850128983e-07,2.3422573387596735e-05,4.6303653916446885,True
Id3,1.3904294392420957,0.011057982018761013,1.3793714572233347,6.773820074939767,0.7661657540170536,0.00036973712896173764,0.003933373712358911,2.4052347890326944,True
Fh1,1.6475680431745228,0.2734725841975604,1.3740954589769623,2.6136491987921415,0.9712365902361837,3.3837254440592413e-06,0.00012688970415222154,3.8965736151888097,True
Nfkb1,1.3898465391434516,0.020045221655550532,1.3698013174879011,6.01769740076816,0.7697259449277782,7.967880807959784e-06,0.00022765373737027952,3.6427252155250605,True
Smim5,1.3344262078748603,-0.013530486079953904,1.3479566939548142,,0.7315724220242055,1.3294972756338848e-06,6.876710046382163e-05,4.16261928711806,True
Lifr,1.2229321463908245,-0.09989378793527229,1.3228259343260969,,0.6429502892476147,2.415785657354658e-05,0.00047337958015342574,3.3247904798626964,True
Kmo,1.1686965698104257,-0.15247657691638256,1.3211731467268082,,0.5927416577453624,4.833660784757453e-08,7.250491177136178e-06,5.13963257159531,True
H2.DMb1,0.376830615768326,-0.9373115963467668,1.3141422121150927,,-0.47441314958847886,7.000830081939951e-08,8.751037602424937e-06,5.057940450030097,True
Il18r1,1.3486224090151493,0.034971639546730146,1.3136507694684192,5.229492270393067,0.7585564894808678,0.0011336391347552012,0.009607111311484756,2.0174071773754116,True
Fyn,1.258548882784214,-0.03246962577468856,1.2910185085589025,,0.6897818824768202,1.9586772315315967e-07,1.5881166742148083e-05,4.799117594411251,True
Pacsin1,1.1902472427699005,-0.09415456856447506,1.2844018113343756,,0.6304486557896746,1.5993563039090826e-08,3.690822239790191e-06,5.432876871124386,True
Prss30,1.1947546910831854,-0.08701050089309181,1.2817651919762771,,0.635867755118563,0.0007055376809077058,0.0065529815564183205,2.1835610543782153,True
Bst2,1.502292218744,0.2261677642916511,1.276124454452349,2.7554694230679324,0.8985798573922406,0.001907969934242205,0.014238581598822424,1.8465332715478755,True
Bach2,1.2475826005825341,-0.024598224246722023,1.272180824829256,,0.6883971948394447,5.28511300553063e-08,7.550161436472328e-06,5.1220437622490165,True
Ly86,1.1521522699726747,-0.11820136496536487,1.2703536349380395,,0.6011977402732929,4.455923518590482e-07,3.0381296717662375e-05,4.51739369376135,True
Cd5,1.2998537772038317,0.03959668107854702,1.2602570961252846,5.007805830983317,0.73961071157935,7.536100517831673e-06,0.00022384456983658437,3.6500534365434865,True
Atp1b3,0.785282824496789,-0.4622987141650847,1.2475815386618736,,0.21597928586258205,0.00036973712896173764,0.003933373712358911,2.4052347890326944,True
Vrk1,1.2457541230846667,0.0009191233691029003,1.2448349997155639,8.781136598996504,0.6989621953903437,5.656563094114078e-06,0.00018855210313713594,3.7245686190485556,True
Cd300a,0.6742525853713884,-0.5689593486042108,1.2432119339755991,,0.0740211937505786,6.02240468632895e-06,0.00019638276151072665,3.7068966372687453,True
Pou2f2,1.171728424210134,-0.04403883910275832,1.2157672633128924,,0.645097336095188,1.8503291227022575e-06,8.410586921373899e-05,4.075173696494599,True
Chst15,1.1507277451130125,-0.06311826636155658,1.213846011474569,,0.6264902918881239,0.0035575714243245996,0.02246887215362905,1.6484187268576205,True
Napsa,0.8596415254968297,-0.3520593505052933,1.211700876002123,,0.3262969796052401,8.088099226988067e-07,4.951897485911062e-05,4.305228354651101,True
Lsp1,0.3250892499601287,-0.8841963857101768,1.2092856356703054,,-0.4730369302481767,5.8516967577334816e-05,0.0009143276183958565,3.038898161632341,True
Clec12a,1.1577318229543594,-0.04482216733216286,1.2025539902865223,,0.6382637068176299,3.347885492382397e-05,0.0006013016720450927,3.2209075885061598,True
Ctsh,0.2843895544407736,-0.916681699780242,1.2010712542210156,,-0.5482398996324925,1.430304381121103e-06,7.034283841579196e-05,4.152780111375277,True
Ptger4,0.9665127343720952,-0.2253211448066293,1.1918338791787244,,0.45480316568882034,4.181145430256295e-09,1.3914669242817535e-06,5.856527112558572,True
Rnf122,1.095945184381055,-0.08436533939165225,1.1803105237727074,,0.5905205091095874,2.73029080867729e-08,5.46058161735458e-06,5.262761097266857,True
Hmgb1,2.5823825085303413,1.4201499267812643,1.162232581749077,0.8819579431503681,1.585571294230248,0.007553072023395996,0.040462885839621404,1.3929431462926256,True
Tmem176a,1.333034631694819,0.17239288603651634,1.1606417456583027,2.9753374985828698,0.8095904043210984,0.0012908145116153093,0.010667888525746358,1.9719215311248475,True
Tmem176b,1.5367052506489634,0.4264907256491657,1.1102145249997977,1.87816871505537,0.9866643089770707,0.005327020470226418,0.030732810405152407,1.512397723256777,True
