,Baso/Eos/Mast,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Gata2_383,8.93788624112079,0.23903895993511562,8.698847281185675,5.232632317897696,2.482451448783209,1.6745494960345177e-05,0.002600129201986053,2.585005071138621,True,Gata2
Gata1_387,8.4760498041235,0.2136280951057807,8.262421709017719,5.317895688855647,2.418146477395198,1.45138949512731e-05,0.002600129201986053,2.585005071138621,True,Gata1
Gata5_385,8.03705466687727,0.15235913281542238,7.884695534061847,5.724569624232909,2.34899915006108,3.002443234936327e-05,0.0033101936665173005,2.480146596605151,True,Gata5
Gata4_386,8.079858308909818,0.2204678722260435,7.859390436683775,5.204809510872593,2.364618118942081,1.6930072414025655e-05,0.002600129201986053,2.585005071138621,True,Gata4
Gata6_382,7.7193853015592,0.22621313548308994,7.49317216607611,5.103206662040958,2.3140581821377495,1.1887626849118672e-05,0.002600129201986053,2.585005071138621,True,Gata6
Gata3_384,6.742165501179492,0.20588505642401989,6.536280444755472,5.045856772929798,2.161573407827274,7.665472168340781e-06,0.002600129201986053,2.585005071138621,True,Gata3
Mecom_173,3.453015266384925,0.0339472141133091,3.4190680522716157,6.637135765721385,1.456007710784239,1.7687953755007163e-05,0.002600129201986053,2.585005071138621,True,Mecom
Bach1_108,0.5255811225953136,-1.6047716804245151,2.1303528030198287,,-1.1190254676475149,0.022199977686071584,0.1864798125630013,0.7293681760109415,False,Bach1
Smarcc1_843,0.21651373178740707,-1.8303863677390915,2.0469000995264985,,-2.372851296168562,0.03304355997253104,0.23503564432074497,0.62886626982217,False,Smarcc1
Fos_104,0.2544798907269888,-1.7060920875441277,1.9605719782711164,,-1.8667316107200431,0.04390232144732601,0.28105012132211643,0.5512162228972334,False,Fos
Bach2_119,0.41998630613038146,-1.3982413578285504,1.8182276639589319,,-0.9689648895779717,0.021639327504173696,0.1835181428719346,0.7363209943019613,False,Bach2
Jund_135,0.5234621961268098,-1.2278520695519302,1.75131426567874,,-0.6263683505098468,0.03975420993710571,0.2694590996898324,0.5695071456053412,False,Jund
Lhx8_465,1.9674465410593078,0.23976624562155918,1.7276802954377486,3.113506023710967,1.0728647866177448,0.0005973363663649932,0.030991216184348473,1.5087613804632762,True,Lhx8
Fosb_98,-0.13233411139201662,-1.6686328536813486,1.536298742289332,-7.828098431265864,-3.3289201899001726,0.04046108412294137,0.2694590996898324,0.5695071456053412,False,Fosb
Junb_127,0.22679201996001638,-1.2449841777015715,1.471776197661588,,-1.0264874045103698,0.021091042753745463,0.1835181428719346,0.7363209943019613,False,Junb
Nfya_242,1.8442264359833276,0.43004690919880645,1.4141795267845212,2.188369146713833,1.0956791731190945,0.007146630793783016,0.14420362483874027,0.8410238226424106,False,Nfya
Ctcfl_820,1.9612217039358106,0.5726249261857923,1.3885967777500183,1.8602000011742703,1.1807355887616702,0.007043327098798086,0.14420362483874027,0.8410238226424106,False,Ctcfl
Ctcf_146,1.8232194995020676,0.4955546897734934,1.3276648097285744,1.9692292139426864,1.1106218859987633,0.01382702789439434,0.17422055146936868,0.7589006158995895,False,Ctcf
Sp9_231,1.477719182128818,0.17044447519339426,1.3072747069354238,3.2163178548042963,0.8671704505309346,0.005480719451648324,0.12394857836804671,0.9067584500212367,False,Sp9
Sp8_207,1.477719182128818,0.17044447519339426,1.3072747069354238,3.2163178548042963,0.8671704505309346,0.005480719451648324,0.12394857836804671,0.9067584500212367,False,Sp8
Sp7_222,1.477719182128818,0.17044447519339426,1.3072747069354238,3.2163178548042963,0.8671704505309346,0.005480719451648324,0.12394857836804671,0.9067584500212367,False,Sp7
Fosl1_107,0.37858658095044195,-0.8880013566102943,1.2665879375607363,,-0.42412113609801627,0.056052210807758504,0.31665004574022193,0.4994204449026515,False,Fosl1
Nr2c2_659,1.4367951802099508,0.18532699694286234,1.2514681832670884,3.0595745292613414,0.8568352103962171,0.0035764787412974927,0.09966734133099621,1.0014471265757972,False,Nr2c2
Hnf1a_470,1.3024529182316034,0.11883688202858325,1.1836160362030201,3.5623103931684534,0.7745403127262234,0.008742655904133402,0.15119651975383647,0.8204582053235667,False,Hnf1a
Klf6_794,0.9918471785075684,-0.18181412917074827,1.1736613076783167,,0.4905870983586379,0.013457130322283292,0.17201723107614295,0.7644280473571774,False,Klf6
Klf2_819,0.9918471785075684,-0.18181412917074827,1.1736613076783167,,0.4905870983586379,0.013457130322283292,0.17201723107614295,0.7644280473571774,False,Klf2
Klf3_804,0.9918471785075684,-0.18181412917074827,1.1736613076783167,,0.4905870983586379,0.013457130322283292,0.17201723107614295,0.7644280473571774,False,Klf3
Sp1_142,1.321082415734918,0.185477430581222,1.1356049851536958,2.947360944582582,0.8100563506394077,0.007198790967303575,0.14420362483874027,0.8410238226424106,False,Sp1
Klf12_236,0.955232590681443,-0.16910807440838732,1.1243406650898302,,0.4782597356833916,0.01274347578056405,0.17201723107614295,0.7644280473571774,False,Klf12
NP_587,1.1748821743542583,0.10478819324715963,1.0700939811070986,3.6055568052895253,0.713550820049261,0.01118114890116462,0.17201723107614295,0.7644280473571774,False,NP
Klf7_171,0.9189186955279396,-0.13592908703782444,1.054847782565764,,0.47663552174613993,0.007965770923752821,0.15056412743462033,0.8222784883807498,False,Klf7
Six6_430,0.9455733127768085,-0.10775328694987138,1.0533265997266799,,0.5047830967697792,0.021226966877135874,0.1835181428719346,0.7363209943019613,False,Six6
Six4_493,0.9161800040680536,-0.11724740848197376,1.0334274125500273,,0.4848767440795983,0.02889149742328231,0.21413698090197478,0.6693083246963536,False,Six4
Klf10_810,1.1078917754953015,0.07527216532905288,1.0326196101662486,3.9959535279452627,0.6704614612539455,0.003834863110112036,0.09966734133099621,1.0014471265757972,False,Klf10
Klf11_798,1.1886837328131572,0.17555951654791474,1.0131242162652425,2.8872434002365175,0.7502820224656982,0.01735106641531784,0.17887183163869452,0.747458045833247,False,Klf11
Klf14_237,1.1886837328131572,0.17555951654791474,1.0131242162652425,2.8872434002365175,0.7502820224656982,0.01735106641531784,0.17887183163869452,0.747458045833247,False,Klf14
Klf16_874,1.1886837328131572,0.17555951654791474,1.0131242162652425,2.8872434002365175,0.7502820224656982,0.01735106641531784,0.17887183163869452,0.747458045833247,False,Klf16
Klf13_817,1.1886837328131572,0.17555951654791474,1.0131242162652425,2.8872434002365175,0.7502820224656982,0.01735106641531784,0.17887183163869452,0.747458045833247,False,Klf13
Six2_445,0.9025582449904357,-0.10964136700063395,1.0121996119910697,,0.4817726371708909,0.032844306844861504,0.23503564432074497,0.62886626982217,False,Six2
Egr2_188,0.8073739343390911,-0.1910601805028836,0.9984341148419746,,0.387535562227829,0.011027023633607932,0.17201723107614295,0.7644280473571774,False,Egr2
Tbx4_761,1.233565810125011,0.24147256948387122,0.9920932406411399,2.4802533054311953,0.7970289115816533,0.040938230565121934,0.2694590996898324,0.5695071456053412,False,Tbx4
Csda_823,0.835656589706727,-0.12565655581336654,0.9613131455200935,,0.43829286962260916,0.013275481940936834,0.17201723107614295,0.7644280473571774,False,Csda
Ybx1_822,0.835656589706727,-0.12565655581336654,0.9613131455200935,,0.43829286962260916,0.013275481940936834,0.17201723107614295,0.7644280473571774,False,Ybx1
Ybx2_821,0.835656589706727,-0.12565655581336654,0.9613131455200935,,0.43829286962260916,0.013275481940936834,0.17201723107614295,0.7644280473571774,False,Ybx2
Sp6_191,1.0865667615649681,0.12743089351223835,0.9591358680527298,3.226619987971712,0.684368876427531,0.019266240369247144,0.17887183163869452,0.747458045833247,False,Sp6
Sp5_238,1.0865667615649681,0.12743089351223835,0.9591358680527298,3.226619987971712,0.684368876427531,0.019266240369247144,0.17887183163869452,0.747458045833247,False,Sp5
Sp3_802,1.1276191526648265,0.17911245722270502,0.9485066954421215,2.7899901573359682,0.7254059542688033,0.007357327797894913,0.14420362483874027,0.8410238226424106,False,Sp3
Myb_644,1.2869202143797074,0.3402729752035169,0.9466472391761904,2.044439274951057,0.858853587390131,0.005646710158851588,0.12450995900267753,0.9047959098780516,False,Myb
