,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Gata2_383,3.6165361435403978,0.35557721506727935,3.2609589284731184,3.3471195356292966,1.578241549991712,1.2699385942030225e-07,2.8002146002176644e-05,4.552808684329573,True,Gata2
Gata5_385,3.4524567319757,0.21158868480076326,3.2408680471749367,4.023972559901155,1.5018328336227962,1.0408870294020357e-08,4.590311799662977e-06,5.338157813749452,True,Gata5
Gata1_387,3.520038493369279,0.3647248291044812,3.155313664264798,3.271900548335255,1.5569843931125367,4.06904938004083e-07,7.177803106392024e-05,4.144008458928421,True,Gata1
Gata4_386,3.380283497355262,0.2867499078835993,3.0935335894716625,3.5587051954911813,1.5025937066702026,7.207560572644566e-08,2.1190228083575026e-05,4.6738643686830255,True,Gata4
Gata6_382,3.2705283825066385,0.3255908163048326,2.944937566201806,3.3293264272403267,1.484426692613942,1.0169248982705013e-08,4.590311799662977e-06,5.338157813749452,True,Gata6
Gata3_384,2.665314017760576,0.28101066170858474,2.3843033560519915,3.247355899732436,1.3063569421310537,2.2598717599599982e-06,0.00033220114871411975,3.478598870140672,True,Gata3
Smarcc1_843,-0.6781259034211575,-1.9972466457297202,1.3191207423085627,-1.6050112214334202,,0.003090663729951406,0.11358189207571417,0.9446909010056342,False,Smarcc1
Fos_104,-0.7249257697552979,-1.8990959911960688,1.1741702214407708,-1.4328045925464168,,0.006271579256468972,0.12292295342679185,0.9103670136487435,False,Fos
Bach1_108,-0.63822519378778,-1.7191584871295023,1.0809332933417224,-1.4790139851597157,,0.004306411053747565,0.11695038084103171,0.9319983596018204,False,Bach1
Bach2_119,-0.5733082072592908,-1.5457774014035464,0.9724691941442556,-1.4861154013594016,,0.0033905799887987654,0.11695038084103171,0.9319983596018204,False,Bach2
Nfe2_132,-0.17542196957005324,-1.1163797396016444,0.9409577700315912,-2.862755110702023,-1.497774732966649,0.0017099287549379645,0.08753254537679554,1.0578304424107934,False,Nfe2
Mecom_173,1.0534899783263678,0.14064776628055065,0.9128422120458172,2.9147630852483686,0.6754265291475032,0.00021574979641205934,0.019029132043543635,1.7205810202939618,True,Mecom
Fosb_98,-0.893402225714051,-1.7970362895620777,0.9036340638480267,-1.0429702659079987,,0.004888706878685683,0.11695038084103171,0.9319983596018204,False,Fosb
Jund_135,-0.6353585034533807,-1.3975308398686654,0.7621723364152847,-1.1865343257512404,,0.026332169770870148,0.2639201561125849,0.5785274405711768,False,Jund
Nfe2l2_101,-0.2105622245935473,-0.9426133927524512,0.7320511681589039,-2.320262420974368,-1.239865285358128,0.010194225517263308,0.1634783073859316,0.7865398675151014,False,Nfe2l2
Stat5b_756,0.7974023850450245,0.09098374936655436,0.7064186356784701,3.139912792797085,0.5302636220598348,0.01391439973941896,0.2011885339371725,0.6963967740619927,False,Stat5b
Junb_127,-0.771374908544228,-1.4634626331143616,0.6920877245701337,-0.9640812502273469,,0.06365249155226663,0.3801274119996579,0.4200708111363523,False,Junb
Ctcf_146,1.2843302278052544,0.5933807501266899,0.6909494776785645,1.1338805589626788,0.9552052773376416,0.01701751590255765,0.21253975527647068,0.6725598238143614,False,Ctcf
Stat5a_755,0.7534388660449641,0.16006739709272197,0.5933714689522421,2.2588325345899523,0.5427564120368628,0.03201785924892794,0.2960893656697664,0.5285771904285862,False,Stat5a
Ctcfl_820,1.2206974852902315,0.6422681606723375,0.578429324617894,0.9479998968953823,0.949708847484465,0.013239702120025454,0.19462362116437415,0.7108044512270344,False,Ctcfl
Arid3a_7,1.050272636620891,0.49319029824430066,0.5570823383765904,1.114915777279966,0.8251599583168693,0.008829471196583524,0.14589446034600723,0.835961198078004,False,Arid3a
Gm4881_296,1.1432084811197676,0.5936061896237471,0.5496022914960205,0.9684325723847512,0.9018090142861128,0.011131852769407135,0.17532668111816238,0.7561519881808351,False,Gm4881
Nfe2l1_117,0.047905670342924415,-0.4690619986716467,0.5169676690145711,,-0.3411316693780354,0.0016756692766359263,0.08753254537679554,1.0578304424107934,False,Nfe2l1
Nfe2l3_871,0.047905670342924415,-0.4690619986716467,0.5169676690145711,,-0.3411316693780354,0.0016756692766359263,0.08753254537679554,1.0578304424107934,False,Nfe2l3
Erf_288,1.0889580429758114,0.5787888403182959,0.5101692026575155,0.9360072443190904,0.8748940798226785,0.004784504692198501,0.11695038084103171,0.9319983596018204,False,Erf
Gm5294_344,0.892570191367791,0.39227829992750624,0.5002918914402847,1.214230091098143,0.7158268299394753,0.002973796408890279,0.11358189207571417,0.9446909010056342,False,Gm5294
Foxl1_370,0.892570191367791,0.39227829992750624,0.5002918914402847,1.214230091098143,0.7158268299394753,0.002973796408890279,0.11358189207571417,0.9446909010056342,False,Foxl1
Foxl1_367,1.1616532692272987,0.6617785468965068,0.4998747223307919,0.8347434524077779,0.93486814649734,0.001571303728284616,0.08753254537679554,1.0578304424107934,False,Foxl1
Hoxb4_511,0.6418358853785745,0.1834205472544159,0.4584153381241586,1.8405083642669025,0.49838181878379123,0.0029929899467738136,0.11358189207571417,0.9446909010056342,False,Hoxb4
Smarcc2_646,0.9688615379825266,0.5187330536338544,0.45012848434867225,0.9284630051432635,0.8022323466924195,0.038911554896838674,0.31199992199101556,0.5058455145676973,False,Smarcc2
Olig2_72,0.48739418307352006,0.04708573649783668,0.44030844657568335,3.376035953537646,0.34168973364544636,0.02395527238604682,0.24921148818362235,0.6034319413878485,False,Olig2
Hoxc4_581,0.6209864077124395,0.184755667154374,0.43623074055806554,1.784134740621829,0.48838239156169294,0.004828914142163667,0.11695038084103171,0.9319983596018204,False,Hoxc4
Prdm11_650,0.4665641299623794,0.03165037707507954,0.43491375288729983,3.86050942660987,0.32089735803181335,0.0058342593616841215,0.11695038084103171,0.9319983596018204,False,Prdm11
Hoxa4_396,0.6392133475269158,0.2083331206239298,0.430880226902986,1.6529245853410086,0.5097193849794924,0.008932313898735136,0.14589446034600723,0.835961198078004,False,Hoxa4
Nfat5_696,0.3029144471513021,-0.12018994168698761,0.4231043888382897,,0.12613005076758838,0.00398297398034854,0.11695038084103171,0.9319983596018204,False,Nfat5
