,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Cebpg_129,2.48336155422581,-0.3101527111063622,2.7935142653321723,,1.0611571203122134,1.476715326527553e-12,6.512314589986508e-10,9.186264628174877,True,Cebpg
Atf5_791,2.5573065971960114,-0.20721832141064303,2.7645249186066545,,1.1210446776844862,5.858289155201844e-13,5.167011034888026e-10,9.286760610955623,True,Atf5
Cebpb_130,1.8905473167544984,-0.17354648224831076,2.064093799002809,,0.8941390121000751,5.331968852674024e-11,9.40559305611698e-09,8.026613815437491,True,Cebpb
Cebpd_97,1.8905473167544984,-0.17354648224831076,2.064093799002809,,0.8941390121000751,5.331968852674024e-11,9.40559305611698e-09,8.026613815437491,True,Cebpd
Nfil3_138,1.3909434971843275,-0.23885124518577072,1.6297947423700982,,0.6563097586373167,3.193164166389074e-12,9.387902649183877e-10,9.02743142260364,True,Nfil3
Cebpa_115,1.2406220842451003,-0.23050020194601128,1.4711222861911115,,0.5898219040708537,5.394746457441552e-09,3.9651386462195404e-07,6.401741622410601,True,Cebpa
Nfil3_131,1.1918076762747039,-0.14587009208522883,1.3376777683599328,,0.6068863791518927,3.469475185475189e-10,3.825096391986396e-08,7.417357616201783,True,Nfil3
Dbp_133,1.295880642898249,0.0038044106863005557,1.2920762322119483,7.818384693232788,0.722328329527053,1.1551179945876243e-09,1.0188140712262846e-07,6.991905065461732,True,Dbp
Pou3f3_540,1.170225396672027,-0.0634692160794276,1.2336946127514548,,0.6354090226465635,1.6161938049308033e-10,2.375804893248281e-08,7.624189227522843,True,Pou3f3
Hlf_99,1.085172369861131,-0.05716436894630763,1.1423367388074388,,0.5983690173662102,8.167763696319087e-08,4.502479737595896e-06,5.346548232949316,True,Hlf
Ctcf_146,1.7269668060580499,0.6295623165689187,1.097404489489131,1.463128443441855,1.1231791873493417,2.3237303892375587e-05,0.0005123825508268816,3.2904056685616863,True,Ctcf
Ctcfl_820,1.6783676071384834,0.6864952677316906,0.9918723394067929,1.2977678764310867,1.1259363313227047,7.22380774073204e-06,0.00018203995506644742,3.7398332803640426,True,Ctcfl
Tef_105,0.9446301242893569,-0.0377686421435662,0.9823987664329231,,0.5394623257628897,7.466548336099883e-07,3.135950301161951e-05,4.503630828673234,True,Tef
Cebpe_125,0.861640091267338,-0.010681011990974529,0.8723211032583125,,0.5114473319630842,1.1848387425623884e-06,4.180111083760106e-05,4.378812176975438,True,Cebpe
Ddit3_788,0.7830979758032229,0.01301045151772553,0.7700875242854974,5.7312348170332985,0.4834203065378205,1.7071778133466294e-06,5.192175280592163e-05,4.284650654784529,True,Ddit3
Irx6_485,0.882326687327193,0.12125269229957314,0.7610739950276199,2.8628652935531864,0.5866827924079403,2.8952408259076535e-07,1.5021190637944415e-05,4.823295642099128,True,Irx6
Naif1_637,0.7399576010584693,0.0187498175257984,0.7212077835326709,5.1838594506636815,0.4639924562778234,5.511107316242859e-06,0.00014296460743900592,3.8447714639083164,True,Naif1
Atf4_121,0.830676188137567,0.1258199170379773,0.7048562710995898,2.7247736386333576,0.5638883765283528,9.890680115282558e-07,3.63482494236634e-05,4.439516500456952,True,Atf4
Nr4a3_679,0.18750039791279513,-0.5043843418420157,0.6918847397548109,,-0.2488653416059849,5.119635202018884e-06,0.00013683388630850472,3.863806338183226,True,Nr4a3
Setbp1_12,0.6715621775726078,-0.008971473243731806,0.6805336508163397,,0.4128306733033595,1.2861406951992734e-06,4.362984973714458e-05,4.3602162827372535,True,Setbp1
Hes2_51,0.5373209683897312,-0.06590455126462032,0.6032255196543516,,0.3053381156064911,1.0472909876479779e-05,0.0002505458635909511,3.6011127628853994,True,Hes2
Jun_126,-0.03714988148287041,-0.5680047906820613,0.5308549091991909,-4.629653987534133,-0.5198948472193267,0.0025267165630981367,0.027177609861616544,1.5657887400080188,True,Jun
Pparg_653,0.3405490352422316,-0.16381360781643092,0.5043626430586625,,0.12216606497369083,0.000519813423345237,0.008043428761236824,2.0945587802746903,True,Pparg
Thra_852,0.05907165850744434,-0.4440445449838211,0.5031162034912655,,-0.30844161451255175,0.00041071879004600265,0.00670840690408471,2.1733806027685296,True,Thra
Thrb_846,0.05907165850744434,-0.4440445449838211,0.5031162034912655,,-0.30844161451255175,0.00041071879004600265,0.00670840690408471,2.1733806027685296,True,Thrb
Atf1_106,0.43648795897091225,-0.05692438820703147,0.4934123471779437,,0.2506969970496603,0.0005153321775516163,0.008043428761236824,2.0945587802746903,True,Atf1
