,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Sfpi1_265,0.1919614457475225,-1.042592555914978,1.2345540016625005,,-0.7991580948629223,1.724947734791149e-06,0.0003042807804171587,3.516725478540224,True,Sfpi1
Bcl11a_795,-0.06158761042386074,-1.06359661378394,1.0020090033600795,-4.239232547201715,-1.192948857752436,9.78488398394302e-07,0.00024998997138480814,3.6020774131663544,True,Bcl11a
Bcl11b_814,-0.06158761042386074,-1.06359661378394,1.0020090033600795,-4.239232547201715,-1.192948857752436,9.78488398394302e-07,0.00024998997138480814,3.6020774131663544,True,Bcl11b
Spic_269,0.33173737869219316,-0.4683655076785498,0.8001028863707429,,-0.10208437997183117,7.156824809073544e-06,0.001052053246933811,2.9779622789424316,True,Spic
Irf1_631,0.8698108337871389,0.0738762618543827,0.7959345719327562,3.527871092446463,0.5576243257570408,1.981639250058404e-08,1.7478058185515123e-05,4.757506819193628,True,Irf1
Stat2_758,0.6578232999785825,-0.052966457394993,0.7107897573735754,,0.38120408721782867,1.1337413668245268e-06,0.00024998997138480814,3.6020774131663544,True,Stat2
Spib_271,-0.005918513992733798,-0.6636337883770849,0.6577152743843511,-10.253072158521517,-0.5880882035464507,3.618751301376966e-05,0.003546376275349427,2.4502151870547895,True,Spib
Irf2_636,0.5985205284168427,0.054856790698414044,0.5436637377184286,3.4088976284883374,0.4078298462073659,9.808033801688306e-06,0.0012358122590127266,2.90804750098487,True,Irf2
Nfkb2_699,-0.3337248255924917,-0.8488870290696335,0.5151622034771418,-1.366941750035816,-1.2909067749277137,0.0004150424683310748,0.02153337982752988,1.6668877990085782,True,Nfkb2
Ehf_275,0.38858990003987237,-0.11667634927316886,0.5052662493130412,,0.18390793948475548,3.557841245170823e-05,0.003546376275349427,2.4502151870547895,True,Ehf
Elf5_281,0.3194021983244013,-0.18458221867722835,0.5039844170016297,,0.09411441859504574,6.471748436289586e-05,0.005633357953904995,2.249232652019294,True,Elf5
