,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Ighm,6.5369349323141455,-0.02751943512699503,6.56445436744114,,2.0890600381074638,9.257975899142428e-10,7.431360170352588e-08,7.128931689548213,True
Ctr9,6.783858313903952,0.470318240352351,6.313540073551601,3.852431237941322,2.2101046233812984,1.2261363294853503e-12,7.625083311527969e-10,9.11775540686128,True
Ly6d,6.040610534328438,-0.2533213798042393,6.293931914132678,,1.961121196840935,1.7439891033578345e-06,3.095838645013907e-05,4.509221682810277,True
Cox6a2,6.323479766301522,0.09657229584910826,6.226907470452414,6.012141023244085,2.0738291536686697,3.716878826358345e-12,1.2361076136227966e-09,8.907943718593387,True
Ccnd1,4.45316801951013,0.05802676327842995,4.3951412562317005,6.225489259731476,1.7029222974687948,5.764739564685668e-12,1.5722016994597277e-09,8.803491738612662,True
Igha,4.21339254679526,-0.10125421311933666,4.314646759914597,,1.611677195705107,5.444490038024504e-08,1.7376032036248418e-06,5.760049391380319,True
Mef2c,4.39101523994163,0.23467990888879084,4.156335331052839,4.226127143922923,1.7280718259078696,1.5570845691015215e-12,7.625083311527969e-10,9.11775540686128,True
Bcl11a,4.006958439620419,0.1898511357155622,3.817107303904857,4.398230274308251,1.6315256357390095,1.779186106023193e-12,7.625083311527969e-10,9.11775540686128,True
Crip1,3.3610001248176316,-0.10451420678287894,3.4655143316005104,,1.3940986468808998,1.192176588066526e-08,4.967402450277191e-07,6.3038706527983805,True
Flt3,3.554391486931479,0.12380072263054356,3.4305907643009355,4.835917804959405,1.505431685816183,2.473711268117489e-08,9.050163176039594e-07,6.043343590318034,True
Satb1,3.2830029182860767,-0.05896104352205722,3.341963961808134,,1.385166461254991,1.6091170941830989e-09,1.1226398331509992e-07,6.949759552343704,True
Jchain,3.161636302668844,-0.07487863196447955,3.2365149346333233,,1.3467463669348732,9.7721413206612e-07,1.904155051618606e-05,4.720297690762105,True
Bcl2,3.453670272241011,0.2751031697433872,3.178567102497624,3.655612895788932,1.518226284080355,6.504412632312971e-12,1.6261031580782427e-09,8.788851906735152,True
Ppp1r16b,3.1833207594025277,0.03448942263212713,3.1488313367704004,6.46423687787713,1.3834444615148171,1.1465645710103792e-12,7.625083311527969e-10,9.11775540686128,True
Hmgn3,3.049934035252702,0.03295224485001393,3.016981790402688,6.465328622803856,1.3456479535943158,3.448032801370564e-12,1.2361076136227966e-09,8.907943718593387,True
