,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Atf5_791,0.7369540328488463,-0.16301405197003793,0.8999680848188842,,0.36397841319418667,1.2509396428099339e-08,2.7583219123959043e-06,5.559355050481105,True,Atf5
Cebpg_129,0.7249636329373382,-0.1585401672383295,0.8835038001756678,,0.3597592380264269,9.784021969798965e-08,1.7259014754725374e-05,4.762983999976487,True,Cebpg
Cebpd_97,0.8435093469836044,-0.01686377277942866,0.860373119763033,,0.49909099870013557,1.983216813587211e-09,5.830657431946401e-07,6.234282473891211,True,Cebpd
Cebpb_130,0.8435093469836044,-0.01686377277942866,0.860373119763033,,0.49909099870013557,1.983216813587211e-09,5.830657431946401e-07,6.234282473891211,True,Cebpb
Cebpa_115,0.5593574833490297,-0.13123548135008295,0.6905929646991127,,0.2798409122265832,4.078109701610553e-10,3.5968927568205076e-07,6.444072510698419,True,Cebpa
Dbp_133,0.4049608563459238,-0.021245264463534606,0.4262061208094584,,0.25321211387986153,1.3533831372420072e-07,1.9894732117457505e-05,4.701261904252866,True,Dbp
Cebpe_125,0.4662540488423419,0.06728232996633804,0.39897171887600386,2.755126910010903,0.34115254453050486,7.963163399051035e-07,8.779387647453766e-05,4.056535774595737,True,Cebpe
Nfil3_138,0.09834503782211468,-0.28820447049166786,0.38654950831378254,,-0.14389826516873444,6.768972801680014e-07,8.528905730116818e-05,4.06910668581458,True,Nfil3
Pou3f3_540,0.38321901277416165,0.0011243855044314375,0.3820946272697302,6.944011181895509,0.25359203081526216,1.4627627412648819e-06,0.00014335074864395845,3.843600034624779,True,Pou3f3
Hlf_99,0.35455562255659556,-0.027430809158722497,0.38198643171531804,,0.21854859056327527,1.6276053851428812e-06,0.0001435547949696021,3.8429822967651037,True,Hlf
Nfil3_131,0.2782134809814179,-0.0911051255812748,0.3693186065626927,,0.12902469726118637,9.176127277422678e-06,0.0006744453548905669,3.1710532321016056,True,Nfil3
Tef_105,0.26658957871261724,-0.09231320960469408,0.3589027883173113,,0.12053533088971835,4.224341327241138e-06,0.0003387153682387894,3.4701650980412686,True,Tef
Naif1_637,0.31373685793167294,0.035388442381038526,0.2783484155506344,3.075677168725509,0.2321236675087405,0.00018391073791432548,0.008110463542021754,2.0909543235953585,True,Naif1
Atf4_121,0.3843905574333987,0.1124903479990403,0.27190020943435844,1.7528883348649427,0.32012701019701767,0.00012522124166844715,0.0058129018500826515,2.2356070099745198,True,Atf4
Hnf4g_664,-0.07956993682910218,-0.32175158359651784,0.24218164676741566,-2.033729835552237,-0.3231201816101299,5.91632535581117e-05,0.0028989994243474736,2.5377518708825813,True,Hnf4g
